Active	Expansion	Instance Type	Order	Instance ID	Min Level	Max Level	Group Size	Dungeon Group	EN-US Instance Name	EN Instance Short Name	IconFile	ActivityID
Yes	Wrath of the Lich King	Wrath of the Lich King Raids - 10	3320	624	80	80	10	Vault of Archavon - 10	Vault of Archavon - 10		VOA	1095
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3310	601	80	80	5	Heroic Azjol-Nerub	Heroic Azjol-Nerub	AN	AN	1121
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3300	595	80	80	5	Heroic Culling of Stratholme	Heroic Culling of Stratholme	COS	COS	1126
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3290	600	80	80	5	Heroic Drak'Tharon Keep	Heroic Drak'Tharon Keep	DTK	DTK	1129
No	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3280	632	80	80	5	Heroic Forge of Souls	Heroic Forge of Souls	FOS	FOS	1134
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3270	604	80	80	5	Heroic Gundrak	Heroic Gundrak	GUN	GUN	1130
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3260	602	80	80	5	Heroic Halls of Lightning	Heroic Halls of Lightning	HOL	HOL	1127
No	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3250	668	80	80	5	Heroic Halls of Reflection	Heroic Halls of Reflection	HOR	HOR	1136
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3240	599	80	80	5	Heroic Halls of Stone	Heroic Halls of Stone	HOS	HOS	1128
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3230	576	80	80	5	Heroic Nexus	Heroic Nexus	NEX	NEX	1132
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3220	578	80	80	5	Heroic Oculus	Heroic Oculus	OC	OC	1124
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3210	619	80	80	5	Heroic Old Kingdom	Heroic Old Kingdom	OK	OK	1131
No	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3200	658	80	80	5	Heroic Pit of Saron	Heroic Pit of Saron	PIT	PIT	1135
No	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3190	650	80	80	5	Heroic Trial of the Champion	Heroic Trial of the Champion	TOC	TOC Dungeon	1133
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3180	574	80	80	5	Heroic Utgarde Keep	Heroic Utgarde Keep	UK	UK	1122
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3170	575	80	80	5	Heroic Utgarde Pinnacle	Heroic Utgarde Pinnacle	UP	UP	1125
Yes	Wrath of the Lich King	Wrath of the Lich King Heroic Dungeons	3160	608	80	80	5	Heroic Violet Hold	Heroic Violet Hold	VH	VH	1123
No	Wrath of the Lich King	Wrath of the Lich King Dungeons	3150	668	80	80	5	Halls of Reflection	Halls of Reflection		HOR	1080
No	Wrath of the Lich King	Wrath of the Lich King Dungeons	3140	632	78	80	5	Forge of Souls	Forge of Souls		FOS	1078
No	Wrath of the Lich King	Wrath of the Lich King Dungeons	3130	658	78	80	5	Pit of Saron	Pit of Saron		PIT	1079
No	Wrath of the Lich King	Wrath of the Lich King Dungeons	3120	650	78	80	5	Trial of the Champion	Trial of the Champion		TOC Dungeon	1076
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3110	595	78	80	5	Culling of Stratholme	Culling of Stratholme		COS	1065
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3100	602	78	80	5	Halls of Lightning	Halls of Lightning		HOL	1068
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3090	578	78	80	5	Oculus	Oculus		OC	1067
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3080	575	78	80	5	Utgarde Pinnacle	Utgarde Pinnacle		UP	1075
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3070	604	76	80	5	Gundrak	Gundrak		GUN	1071
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3060	599	75	80	5	Halls of Stone	Halls of Stone		HOS	1069
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3050	608	73	78	5	Violet Hold	Violet Hold		VH	1073
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3040	600	72	78	5	Drak'Tharon Keep	Drak'Tharon Keep		DTK	1070
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3030	619	71	78	5	Old Kingdom	Old Kingdom		OK	1072
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3020	601	70	77	5	Azjol-Nerub	Azjol-Nerub		AN	1066
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3010	576	70	75	5	Nexus	Nexus		NEX	1077
Yes	Wrath of the Lich King	Wrath of the Lich King Dungeons	3000	574	68	75	5	Utgarde Keep	Utgarde Keep		UK	1074
Yes	The Burning Crusade	The Burning Crusade Raids	2400	580	70	70	25	Sunwell Plateau	Sunwell Plateau		SWP	852
Yes	The Burning Crusade	The Burning Crusade Raids	2390	564	70	70	25	Black Temple	Black Temple		BT	850
Yes	The Burning Crusade	The Burning Crusade Raids	2380	534	70	70	25	Mount Hyjal	Mount Hyjal		MH	849
Yes	The Burning Crusade	The Burning Crusade Raids	2370	550	70	70	25	Tempest Keep	Tempest Keep		TK	847
Yes	The Burning Crusade	The Burning Crusade Raids	2360	548	70	70	25	Serpentshrine Cavern	Serpentshrine Cavern		SSC	848
Yes	The Burning Crusade	The Burning Crusade Raids	2350	544	70	70	25	Magtheridon's Lair	Magtheridon's Lair		MAG	845
Yes	The Burning Crusade	The Burning Crusade Raids	2340	565	70	70	25	Gruul's Lair	Gruul's Lair		GRUUL	846
Yes	The Burning Crusade	The Burning Crusade Raids	2330	568	70	70	10	Zul'Aman	Zul'Aman		ZA	851
Yes	The Burning Crusade	The Burning Crusade Raids	2320	532	70	70	10	Karazhan	Karazhan		KARA	844
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2310	552	70	72	5	Heroic Arcatraz	Heroic Arcatraz		ARC	915
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2300	558	70	72	5	Heroic Auchenai Crypts	Heroic Auchenai Crypts		AC	903
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2290	269	70	72	5	Heroic Black Morass	Heroic Black Morass		BM	907
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2280	542	70	72	5	Heroic Blood Furnace	Heroic Blood Furnace		BF	912
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2270	553	70	72	5	Heroic Botanica	Heroic Botanica		BOT	918
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2260	543	70	72	5	Heroic Hellfire Ramparts	Heroic Hellfire Ramparts		RAMPS	913
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2250	585	70	72	5	Heroic Magisters' Terrace	Heroic Magisters' Terrace		MGT	917
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2240	557	70	72	5	Heroic Mana-Tombs	Heroic Mana-Tombs		MT	904
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2230	554	70	72	5	Heroic Mechanar	Heroic Mechanar		MECH	916
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2220	560	70	72	5	Heroic Old Hillsbrad Foothills	Heroic Old Hillsbrad Foothills		OHB	908
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2210	556	70	72	5	Heroic Sethekk Halls	Heroic Sethekk Halls		SETHEKK	905
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2200	555	70	72	5	Heroic Shadow Labyrinth	Heroic Shadow Labyrinth		SL	906
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2190	540	70	72	5	Heroic Shattered Halls	Heroic Shattered Halls		SH	914
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2180	547	70	72	5	Heroic Slave Pens	Heroic Slave Pens		SP	909
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2170	545	70	72	5	Heroic Steamvault	Heroic Steamvault		SV	910
Yes	The Burning Crusade	The Burning Crusade Heroic Dungeons	2160	546	70	72	5	Heroic Underbog	Heroic Underbog		UB	911
Yes	The Burning Crusade	The Burning Crusade Dungeons	2150	585	69	72	5	Magisters' Terrace	Magisters' Terrace		MGT	835
Yes	The Burning Crusade	The Burning Crusade Dungeons	2140	545	69	72	5	Steamvault	Steamvault		SV	822
Yes	The Burning Crusade	The Burning Crusade Dungeons	2130	552	69	72	5	Arcatraz	Arcatraz		ARC	834
Yes	The Burning Crusade	The Burning Crusade Dungeons	2120	553	69	75	5	Botanica	Botanica		BOT	833
Yes	The Burning Crusade	The Burning Crusade Dungeons	2110	555	69	72	5	Shadow Labyrinth	Shadow Labyrinth		SL	826
Yes	The Burning Crusade	The Burning Crusade Dungeons	2100	540	69	72	5	Shattered Halls	Shattered Halls		SH	819
Yes	The Burning Crusade	The Burning Crusade Dungeons	2090	269	68	72	5	Black Morass	Black Morass		BM	831
Yes	The Burning Crusade	The Burning Crusade Dungeons	2080	554	68	72	5	Mechanar	Mechanar		MECH	832
Yes	The Burning Crusade	The Burning Crusade Dungeons	2070	556	66	72	5	Sethekk Halls	Sethekk Halls		SETHEKK	825
Yes	The Burning Crusade	The Burning Crusade Dungeons	2060	560	66	72	5	Old Hillsbrad Foothills	Old Hillsbrad Foothills		OHB	830
Yes	The Burning Crusade	The Burning Crusade Dungeons	2050	558	64	72	5	Auchenai Crypts	Auchenai Crypts		AC	824
Yes	The Burning Crusade	The Burning Crusade Dungeons	2040	557	63	71	5	Mana-Tombs	Mana-Tombs		MT	823
Yes	The Burning Crusade	The Burning Crusade Dungeons	2030	546	62	70	5	Underbog	Underbog		UB	821
Yes	The Burning Crusade	The Burning Crusade Dungeons	2020	547	61	69	5	Slave Pens	Slave Pens		SP	820
Yes	The Burning Crusade	The Burning Crusade Dungeons	2010	542	60	68	5	Blood Furnace	Blood Furnace		BF	818
Yes	The Burning Crusade	The Burning Crusade Dungeons	2000	543	58	67	5	Hellfire Ramparts	Hellfire Ramparts		RAMPS	817
Yes	World of Warcraft	Classic Raids	1360	533	60	60	40	Naxxramas	Naxxramas		NAX	0
Yes	World of Warcraft	Classic Raids	1350	531	60	60	40	Temple of Ahn'Qiraj	Temple of Ahn'Qiraj		AQ40	843
Yes	World of Warcraft	Classic Raids	1340	469	60	60	40	Blackwing Lair	Blackwing Lair		BWL	840
Yes	World of Warcraft	Classic Raids	1330	409	60	60	40	Molten Core	Molten Core		MC	839
Yes	World of Warcraft	Classic Raids	1320	249	60	60	40	Onyxia's Lair	Onyxia's Lair		ONY	838
Yes	World of Warcraft	Classic Raids	1310	509	60	60	20	Ruins of Ahn'Qiraj	Ruins of Ahn'Qiraj		AQ20	842
Yes	World of Warcraft	Classic Raids	1300	309	60	60	20	Zul'Gurub	Zul'Gurub		ZG	836
Yes	World of Warcraft	Classic Raids	1290	229	60	60	10	Upper Blackrock Spire	Upper Blackrock Spire		UBRS	837
Yes	World of Warcraft	Classic Dungeons	1230	429	56	61	5	Dire Maul	Dire Maul North		DM	815
Yes	World of Warcraft	Classic Dungeons	1220	429	56	61	5	Dire Maul	Dire Maul West		DM	814
Yes	World of Warcraft	Classic Dungeons	1210	1007	56	61	5	Scholomance	Scholomance		SCHOLO	797
Yes	World of Warcraft	Classic Dungeons	1200	329	56	61	5	Stratholme	Stratholme		STRAT	816
Yes	World of Warcraft	Classic Dungeons	1190	429	54	61	5	Dire Maul	Dire Maul East		DM	813
Yes	World of Warcraft	Classic Dungeons	1180	229	53	61	5	Lower Blackrock Spire	Lower Blackrock Spire		LBRS	812
Yes	World of Warcraft	Classic Dungeons	1170	230	48	60	5	Blackrock Depths	Blackrock Depths		BRD	811
Yes	World of Warcraft	Classic Dungeons	1160	109	45	54	5	Sunken Temple	Sunken Temple		ST	810
Yes	World of Warcraft	Classic Dungeons	1150	209	42	50	5	Zul'Farrak	Zul'Farrak		ZF	808
Yes	World of Warcraft	Classic Dungeons	1140	349	40	52	5	Maraudon	Maraudon		MARA	809
Yes	World of Warcraft	Classic Dungeons	1130	1004	36	44	5	Scarlet Monastery	Scarlet Cathedral		SM	828
Yes	World of Warcraft	Classic Dungeons	1120	70	36	44	5	Uldaman	Uldaman		ULDA	807
Yes	World of Warcraft	Classic Dungeons	1110	129	33	41	5	Razorfen Downs	Razorfen Downs		RFD	806
Yes	World of Warcraft	Classic Dungeons	1100	1004	33	41	5	Scarlet Monastery	Scarlet Armory		SM	827
Yes	World of Warcraft	Classic Dungeons	1090	1004	31	39	5	Scarlet Monastery	Scarlet Library		SM	829
Yes	World of Warcraft	Classic Dungeons	1080	1004	28	36	5	Scarlet Monastery	Scarlet Graveyard		SM	805
Yes	World of Warcraft	Classic Dungeons	1070	90	24	32	5	Gnomeregan	Gnomeregan		GNOMER	803
Yes	World of Warcraft	Classic Dungeons	1060	47	23	31	5	Razorfen Kraul	Razorfen Kraul		RFK	804
Yes	World of Warcraft	Classic Dungeons	1050	34	21	29	5	Stormwind Stockades	Stormwind Stockades		STOCKS	802
Yes	World of Warcraft	Classic Dungeons	1040	48	20	28	5	Blackfathom Deeps	Blackfathom Deeps		BFD	801
Yes	World of Warcraft	Classic Dungeons	1030	33	17	25	5	Shadowfang Keep	Shadowfang Keep		SFK	800
Yes	World of Warcraft	Classic Dungeons	1020	36	16	24	5	Deadmines	Deadmines		VC	799
Yes	World of Warcraft	Classic Dungeons	1010	43	16	24	5	Wailing Caverns	Wailing Caverns		WC	796
Yes	World of Warcraft	Classic Dungeons	1000	389	13	20	5	Ragefire Chasm	Ragefire Chasm		RFC	798
